n_humans,n_robots,p_robot,mean Human Down, stdev human down,mean robot Down, stdev robot down,Success rate,stdev successrate,n_total,stdev n_total
1,1,0.5,0.123664892,0.000250032,0,0,0.979644932,0.000572417,91248.6,158.1393057
1,1,0.691462461,0.186258565,0.00086659,0,0,0.986923501,0.000452732,132240.3,461.1461916
1,1,0.841344746,0.307510532,0.001335285,0,0,0.992662754,0.00019331,202247.2,593.958214
1,1,0.894350226,0.400062346,0.001481563,0,0,0.994958557,0.000146556,253081.5,857.155441
1,1,0.933192799,0.514845988,0.001742292,0,0,0.996718172,0.000113605,314687.4,871.1859962
1,1,0.959940843,0.638708796,0.001443362,0,0,0.997971302,8.50E-05,380879.8,679.3546644
1,1,0.977249868,0.755850694,0.001873753,0,0,0.998834289,4.06E-05,443091.2,1011.508853
1,1,0.987775527,0.85373696,0.001748714,0,0,0.999378459,2.43E-05,494894.4,1076.900571
1,1,0.993790335,0.920316512,0.000697904,0,0,0.999682577,2.11E-05,530213.4,538.9835248
1,1,0.998650102,0.981278742,0.001004282,0,0,0.999925808,2.19E-05,562214.4,598.7841347
1,2,0.5,1.57E-05,6.88E-06,0.429438175,0.000187932,0.979440648,0.00054877,104144.5,190.5677045
1,2,0.691462461,0.001035185,6.28E-05,0.386399769,0.000354995,0.986716834,0.000320083,162216.8,310.2237257
1,2,0.841344746,0.022434221,0.000478757,0.293616319,0.000754497,0.992756231,0.000237204,286054.9,1014.824463
1,2,0.894350226,0.070178935,0.000502401,0.223878144,0.001041256,0.99494924,0.000123603,393452.9,1380.343758
1,2,0.933192799,0.170721875,0.001556855,0.147964873,0.000831043,0.996713504,4.42E-05,535344.5,1504.664298
1,2,0.959940843,0.334161265,0.001715738,0.08042282,0.000675202,0.997970339,4.36E-05,699830.7,1597.262912
1,2,0.977249868,0.529699923,0.001845562,0.035162905,0.000452744,0.998822667,3.98E-05,855514.3,1596.022246
1,2,0.987775527,0.708736767,0.001710905,0.012351061,0.00031976,0.999363828,2.59E-05,976180.8,1336.058142
1,2,0.993790335,0.839430093,0.001195518,0.003519618,0.000165834,0.999679574,1.52E-05,1055476.1,740.4917893
1,2,0.998650102,0.962105633,0.000952808,0.000160397,6.12E-05,0.999927401,8.23E-06,1123993,771.7064209
1,3,0.5,1.50E-06,6.33E-07,0.619617953,0.000197066,0.979505383,0.000456759,104200.4,211.0489043
1,3,0.691462461,2.82E-06,1.99E-06,0.590381211,0.000298108,0.987042321,0.000469546,162505.3,526.2377885
1,3,0.841344746,0.000167863,4.20E-05,0.518628858,0.00069395,0.992680384,0.000103175,292149.4,1024.185354
1,3,0.894350226,0.003129051,0.000126331,0.445312809,0.001086144,0.994971106,0.000123385,421928.3,1931.309558
1,3,0.933192799,0.026912153,0.000636559,0.332875077,0.001212602,0.996725448,6.68E-05,629082.1,2222.850712
1,3,0.959940843,0.125431481,0.001730592,0.196488336,0.00127109,0.997960101,4.62E-05,916307.6,2844.689516
1,3,0.977249868,0.329795332,0.001602247,0.084939931,0.00087782,0.998837095,2.73E-05,1216614.8,1694.824699
1,3,0.987775527,0.569334028,0.002613299,0.028075129,0.000497137,0.999352979,3.03E-05,1440838.9,1966.93205
1,3,0.993790335,0.759460764,0.001668706,0.007546849,0.000224969,0.999679857,1.69E-05,1576518.8,1209.331452
1,3,0.998650102,0.943234144,0.000891038,0.000391268,4.46E-05,0.999928518,2.11E-06,1685745.3,465.4531233
1,4,0.5,1.39E-06,7.36E-07,0.714705662,7.59E-05,0.979469249,0.00050282,104169.3,263.2462915
1,4,0.691462461,2.35E-06,1.96E-06,0.692787153,0.000271119,0.98704141,0.000375524,162377.5,609.1602827
1,4,0.841344746,2.97E-06,2.20E-06,0.638927151,0.000549924,0.992706479,0.000127197,292206.6,1155.873972
1,4,0.894350226,4.38E-05,2.03E-05,0.583277189,0.000661115,0.994899104,9.88E-05,421805.6,1547.059417
1,4,0.933192799,0.001587076,0.000173287,0.487001563,0.00108015,0.996722745,6.63E-05,644648.9,2468.351006
1,4,0.959940843,0.029176968,0.000619879,0.33009891,0.001434191,0.997981386,4.52E-05,1019387.6,3395.42319
1,4,0.977249868,0.174566011,0.001953476,0.152818924,0.001400739,0.998818405,3.65E-05,1502813.2,4036.189931
1,4,0.987775527,0.43936848,0.003853174,0.048671422,0.001010679,0.999367469,1.82E-05,1881337.2,4310.783567
1,4,0.993790335,0.680290818,0.002662761,0.012498997,0.000320874,0.999675068,1.37E-05,2091555.6,2219.958162
1,4,0.998650102,0.924965509,0.000967123,0.000608642,4.84E-05,0.999931163,3.90E-06,2247352.3,639.7735615
1,5,0.5,1.31E-06,1.02E-06,0.771742739,0.000149367,0.979597661,0.000329391,104279.6,368.6055344
1,5,0.691462461,2.24E-06,1.13E-06,0.754317608,0.000179563,0.98686349,0.000216336,162290.5,524.0158872
1,5,0.841344746,2.62E-06,9.88E-07,0.711162562,0.000446717,0.992811102,0.000136068,292176.4,1224.668135
1,5,0.894350226,4.32E-06,3.59E-06,0.666526914,0.000992865,0.994914823,0.000168676,422070.7,2752.055779
1,5,0.933192799,3.60E-05,1.63E-05,0.588221628,0.000915817,0.996698943,6.80E-05,647643.3,2563.94926
1,5,0.959940843,0.003646914,0.000283744,0.448992446,0.001062501,0.997998811,2.25E-05,1048738.1,3030.92103
1,5,0.977249868,0.072139776,0.001389508,0.238120903,0.001739341,0.998832841,2.04E-05,1689159.5,5900.251779
1,5,0.987775527,0.318820448,0.002412891,0.075994228,0.000739223,0.999366031,1.34E-05,2283399.9,3145.564987
1,5,0.993790335,0.60507365,0.00149928,0.018273302,0.00026284,0.999680871,1.19E-05,2599899.9,1403.189542
1,5,0.998650102,0.906110185,0.001353735,0.000788218,3.16E-05,0.999931754,4.65E-06,2808981.4,1119.781068
1,6,0.5,1.31E-06,7.56E-07,0.809785076,8.09E-05,0.979796412,0.000520474,104186.8,230.7356929
1,6,0.691462461,2.20E-06,1.13E-06,0.795248823,0.000164573,0.986945081,0.000233076,162276.4,516.6927907
1,6,0.841344746,2.39E-06,1.77E-06,0.759105793,0.000306521,0.992788731,0.000119951,292891.6,997.6748168
1,6,0.894350226,2.85E-06,1.47E-06,0.721892239,0.000555462,0.994947248,0.000124722,422895.7,1826.180005
1,6,0.933192799,5.44E-06,3.81E-06,0.657596296,0.00077965,0.996712244,8.02E-05,645164.2,2710.763575
1,6,0.959940843,0.000278819,7.21E-05,0.540269991,0.001213621,0.997983654,2.86E-05,1049132.7,4117.13364
1,6,0.977249868,0.021342785,0.0006055,0.330824074,0.002473461,0.998834633,3.18E-05,1779932.4,8530.808932
1,6,0.987775527,0.212803781,0.002522978,0.111592702,0.001643396,0.999367,1.58E-05,2634233.2,6500.886336
1,6,0.993790335,0.527239738,0.003287766,0.02512055,0.000512002,0.999679434,3.80E-06,3097043.5,3342.026967
1,6,0.998650102,0.887559606,0.001653372,0.001003311,5.95E-05,0.999927328,5.44E-06,3369937.2,860.8131969
1,7,0.5,9.26E-07,4.63E-07,0.836996296,5.52E-05,0.979580293,0.000405978,104080.7,269.5974963
1,7,0.691462461,1.20E-06,5.02E-07,0.824564032,0.00015249,0.986793066,0.00027468,162126.4,605.5888374
1,7,0.841344746,2.39E-06,1.13E-06,0.793631443,0.000260421,0.992603934,0.000152505,292430.6,1036.91178
1,7,0.894350226,3.24E-06,2.94E-06,0.761629349,0.000341113,0.995006316,9.71E-05,422707.9,1356.926634
1,7,0.933192799,1.93E-06,1.08E-06,0.706615349,0.001135065,0.996673934,0.000113797,644736.7,4462.757736
1,7,0.959940843,1.35E-05,1.55E-05,0.605101675,0.001472583,0.997960199,4.65E-05,1052578,5824.067153
1,7,0.977249868,0.004358873,0.000328264,0.417261502,0.002046859,0.998827729,3.07E-05,1807477.8,8513.263191
1,7,0.987775527,0.127613735,0.002037364,0.156028671,0.00161638,0.999365977,1.23E-05,2919490.9,7483.512884
1,7,0.993790335,0.45344402,0.002127916,0.033342752,0.000616264,0.999674177,8.76E-06,3583237.2,3293.114052
1,7,0.998650102,0.86957716,0.001865701,0.001228274,4.83E-05,0.99992844,3.48E-06,3930995.2,1318.416459
1,8,0.5,8.87E-07,5.74E-07,0.85735271,5.68E-05,0.979482937,0.00037962,104125.2,184.4140992
1,8,0.691462461,1.20E-06,7.21E-07,0.846378366,0.000165406,0.986950171,0.00033696,162526.3,801.4604232
1,8,0.841344746,3.05E-06,1.86E-06,0.819354027,0.000273599,0.992725288,0.000184254,292612.3,1201.419997
1,8,0.894350226,2.78E-06,1.65E-06,0.791604143,0.000335545,0.994926003,0.000103328,421968.3,1533.661244
1,8,0.933192799,4.48E-06,2.19E-06,0.743327262,0.000702417,0.99671594,7.44E-05,644710.1,2914.568457
1,8,0.959940843,6.21E-06,3.72E-06,0.654713628,0.000816824,0.997952116,3.94E-05,1051262.4,3647.670851
1,8,0.977249868,0.000592515,7.92E-05,0.48756617,0.001601355,0.998833885,2.47E-05,1816904,7309.375801
1,8,0.987775527,0.06587716,0.001682278,0.20966509,0.002360516,0.999362609,1.31E-05,3123788.3,12189.79754
1,8,0.993790335,0.379351813,0.002811401,0.04408695,0.001054688,0.999670869,8.69E-06,4048308.9,5888.713891
1,8,0.998650102,0.85023071,0.001866881,0.001447758,6.53E-05,0.999931,3.79E-06,4491347.8,1128.381478
1,9,0.5,1.08E-06,6.41E-07,0.87322404,5.55E-05,0.979521647,0.000309165,104018.8,308.4061608
1,9,0.691462461,1.39E-06,7.36E-07,0.863454694,7.56E-05,0.986994068,0.000334737,162453.7,307.4160211
1,9,0.841344746,1.77E-06,9.48E-07,0.839310155,0.000240008,0.992789846,0.000165802,293146.2,1122.040178
1,9,0.894350226,2.89E-06,1.68E-06,0.814601187,0.000268937,0.994942753,9.15E-05,422730.2,1467.867964
1,9,0.933192799,4.67E-06,3.21E-06,0.771517087,0.000793739,0.996764924,3.84E-05,646212.2,4038.027806
1,9,0.959940843,6.52E-06,7.13E-06,0.692901505,0.000867604,0.997993713,4.12E-05,1052424,4407.059723
1,9,0.977249868,7.14E-05,3.29E-05,0.54424228,0.001115759,0.998835744,2.12E-05,1818491,5481.477611
1,9,0.987775527,0.02919811,0.001134183,0.268971433,0.002194437,0.999361509,1.49E-05,3251673.2,11506.30059
1,9,0.993790335,0.312134684,0.002098015,0.05623224,0.000857499,0.999678064,8.83E-06,4496549.7,5754.166804
1,9,0.998650102,0.831753086,0.001926245,0.001743111,9.20E-05,0.999930112,5.32E-06,5051011.3,1954.986908
1,10,0.5,8.10E-07,5.84E-07,0.885864961,3.65E-05,0.979823545,0.000438489,104228.9,259.2132134
1,10,0.691462461,1.16E-06,4.56E-07,0.877120116,7.02E-05,0.986896042,0.000391346,162457.8,414.9871805
1,10,0.841344746,1.50E-06,6.09E-07,0.855459946,0.000291165,0.992797676,0.000158143,292846.9,1635.697921
1,10,0.894350226,1.89E-06,1.06E-06,0.833202106,0.000182911,0.994963856,5.69E-05,422426.7,971.8771579
1,10,0.933192799,3.82E-06,2.16E-06,0.794165417,0.000540471,0.996696943,5.95E-05,647376.3,3062.705799
1,10,0.959940843,8.14E-06,1.05E-05,0.724090984,0.000773589,0.997950342,3.25E-05,1049435.4,4455.699456
1,10,0.977249868,1.27E-05,9.47E-06,0.589184599,0.001084365,0.998839677,2.27E-05,1822373.1,6206.809558
1,10,0.987775527,0.010459606,0.000575091,0.329349568,0.002182491,0.999358311,1.76E-05,3314745.7,12432.04068
1,10,0.993790335,0.2469951,0.003660964,0.071293557,0.001101476,0.999674401,6.28E-06,4915829.2,6976.010146
1,10,0.998650102,0.81229321,0.001448629,0.001973951,7.96E-05,0.999927349,1.42E-06,5610386.8,1152.753035
1,11,0.5,8.49E-07,4.82E-07,0.89625268,5.28E-05,0.979634966,0.000441486,104207.5,300.9715103
1,11,0.691462461,1.12E-06,5.58E-07,0.888284357,7.75E-05,0.986938718,0.00026354,162452.8,515.6240491
1,11,0.841344746,1.66E-06,5.74E-07,0.868714696,0.00017325,0.992727959,0.000140467,292060.9,1127.026393
1,11,0.894350226,2.93E-06,1.65E-06,0.848334343,0.000176731,0.994944123,0.000126014,422623.5,1115.503675
1,11,0.933192799,2.85E-06,1.74E-06,0.813112254,0.000312321,0.996725768,4.59E-05,645960.5,1973.124844
1,11,0.959940843,4.86E-06,3.54E-06,0.748726413,0.000978592,0.998010191,3.20E-05,1052144.6,6123.223942
1,11,0.977249868,9.10E-06,7.15E-06,0.627365537,0.001846775,0.998833255,1.99E-05,1816513.7,11713.79794
1,11,0.987775527,0.002711767,0.000347062,0.385747338,0.003377366,0.999362045,6.77E-06,3339549.3,21485.59238
1,11,0.993790335,0.18988287,0.002579736,0.089679465,0.001210895,0.999677161,4.91E-06,5301106.4,8582.154056
1,11,0.998650102,0.793404861,0.003420606,0.002228167,5.17E-05,0.999929947,4.45E-06,6169721.4,2230.716396
